Puzzle   Algorithm   Heuristic   Length of the   Length of the   Execution Time
Number                                Solution     Search Path     (in seconds)
--------------------------------------------------------------------------------
22       A/A*        h2                         2         352          0.05
22       A/A*        h3                         2         352          0.05
22       A/A*        h4                         2         352          0.07

23       UCS         NA                         1           2        0.0000
23       GBFS        h1                         1           1        0.0000
23       GBFS        h2                         1           1        0.0000
23       GBFS        h3                         1           1        0.0000
23       GBFS        h4                         1           1        0.0000
23       A/A*        h1                         1           1        0.0000
23       A/A*        h2                         1           1        0.0004
23       A/A*        h3                         1           1        0.0009
23       A/A*        h4                         1           1        0.0000

24       UCS         NA                         4         450          0.08
24       GBFS        h1                         4         471          0.11
24       GBFS        h2                         4         471          0.11
24       GBFS        h3                         4         412          0.06
24       GBFS        h4                         4         408          0.08
24       A/A*        h1                         4         403          0.11
24       A/A*        h2                         4         403          0.15
24       A/A*        h3                         4         403          0.09
24       A/A*        h4                         4         403          0.09

25       UCS         NA                         2          90        0.0040
25       GBFS        h1                         2          78        0.0040
25       GBFS        h2                         2          78        0.0040
25       GBFS        h3                         2          85          0.01
25       GBFS        h4                         2          78          0.01
25       A/A*        h1                         2          84          0.01
25       A/A*        h2                         2          84          0.01
25       A/A*        h3                         2          84          0.01
25       A/A*        h4                         2          84          0.01

26       UCS         NA                         4        3145          2.63
26       GBFS        h1                         3        1914          0.62
26       GBFS        h2                         3        1914          0.62
26       GBFS        h3                         3        1739          0.43
26       GBFS        h4                         3        1890          0.64
26       A/A*        h1                         3        1958          0.94
26       A/A*        h2                         3        1958          0.99
26       A/A*        h3                         3        1958          1.01
26       A/A*        h4                         3        1958          0.91

27       UCS         NA                         3         148          0.01
27       GBFS        h1                         3         237          0.03
27       GBFS        h2                         3         237          0.03
27       GBFS        h3                         3         235          0.02
27       GBFS        h4                         3         237          0.03
27       A/A*        h1                         3         261          0.04
27       A/A*        h2                         3         261          0.04
27       A/A*        h3                         3         261          0.04
27       A/A*        h4                         3         261          0.04

28       UCS         NA                         2          93        0.0030
28       GBFS        h1                         2         101          0.01
28       GBFS        h2                         2         101          0.01
28       GBFS        h3                         2          97          0.01
28       GBFS        h4                         2         101          0.01
28       A/A*        h1                         2         101          0.01
28       A/A*        h2                         2         101          0.01
28       A/A*        h3                         2         101          0.01
28       A/A*        h4                         2         101          0.01

29       UCS         NA                         1           2        0.0000
29       GBFS        h1                         1           1        0.0000
29       GBFS        h2                         1           1        0.0000
29       GBFS        h3                         1           1        0.0000
29       GBFS        h4                         1           1        0.0000
29       A/A*        h1                         1           1        0.0000
